,顧客ID,商品コード,売上単価,数量,売上,明細ID
6273,55312217,200071,16200,1,16200,550000200701
6276,55322064,1B2201,28080,1,28080,2050000006231
6287,55432049,200071,16200,1,16200,550000201121
6293,55432051,1A1501,105840,1,105840,550000200732
6304,55452049,1B2201,28080,1,28080,550000201643
6315,55652048,200071,16200,1,16200,550000200861
6319,55712094,200071,16200,1,16200,550000201791
6324,55722088,1B2201,28080,1,28080,550000201552
6331,55852091,200071,16200,1,16200,550000200901
6355,56312029,1B2201,28080,1,28080,560000099662
6364,56652019,200006,8640,1,8640,560000099091
6370,57112020,1B2201,28080,1,28080,570000079021
6374,57112063,1B2201,28080,1,28080,1910000017661
6388,57212072,200071,16200,1,16200,570000078971
6389,57212072,200006,8640,1,8640,570000078972
6395,57232050,1B2201,28080,1,28080,570000079244
6404,57312179,1B2201,28080,1,28080,570000079011
6424,57512046,200006,8640,1,8640,570000078951
6428,57632030,1B2201,28080,1,28080,570000079001
6434,57732028,200006,8640,1,8640,570000079271
6436,57752011,1B2201,28080,1,28080,570000079251
6441,57912038,200006,8640,1,8640,570000079121
6452,58222018,1B2201,28080,1,28080,630000726963
6472,60112115,200071,16200,1,16200,600000132341
6475,60122106,200006,8640,1,8640,600000133011
6490,60122185,1A1501,105840,1,105840,600000132522
6504,60132048,1A1501,105840,1,105840,600000131931
6507,60132048,1B2201,28080,1,28080,600000131934
6516,60142001,200071,16200,1,16200,600000131761
6525,60152134,1A1501,105840,1,105840,600000132651
6527,60212122,200071,16200,1,16200,600000132591
6531,60212122,1A1601,82080,1,82080,600000132631
6541,60252093,200006,8640,1,8640,600000132061
6546,60252094,1A1501,105840,1,105840,600000132482
6566,60332065,1A1501,105840,1,105840,600000131892
6591,60412165,200071,16200,1,16200,600000132411
6599,60552015,200071,16200,1,16200,600000132621
6602,60552015,200006,8640,1,8640,600000132911
6605,60552018,200071,16200,1,16200,600000131652
6608,60552020,200071,16200,1,16200,600000132681
6615,60612068,200006,8640,1,8640,600000132081
6620,60612068,200071,16200,1,16200,600000132321
6623,60612068,200071,16200,1,16200,600000132781
6635,60722042,200071,16200,1,16200,600000131611
6642,60752032,1A1501,105840,1,105840,600000132762
6649,60752034,1A1501,105840,1,105840,600000133232
6651,60812024,200071,16200,1,16200,600000132451
6652,60812097,1A1601,82080,1,82080,600000132491
6659,60812099,200071,16200,1,16200,600000132732
6663,60852048,200006,8640,1,8640,600000132171
6670,61152080,1A1601,82080,1,82080,610000064921
6677,61212076,1A1601,82080,1,82080,880000050821
6690,61322042,200071,16200,1,16200,610000065051
6717,62152154,200071,16200,1,16200,620000133041
6725,62252053,1B2201,28080,1,28080,620000134806
6752,62652022,1A1501,105840,1,105840,620000132901
6760,62722065,200006,8640,1,8640,620000134151
6762,63112102,200006,8640,1,8640,1940000026911
6765,63112223,1B2201,28080,1,28080,630000727092
6770,63112247,200006,8640,1,8640,1430000222851
6771,63112247,200071,16200,1,16200,1430000222852
6790,63112314,200071,16200,1,16200,890000083721
6794,63122547,200006,8640,0,0,630000723191
6796,63122547,1B2201,28080,1,28080,630000723193
6833,63122604,1A1501,105840,1,105840,630000722982
6847,63122607,200071,16200,1,16200,630000724361
6848,63122607,200006,8640,1,8640,630000724362
6870,63122612,1A1601,82080,1,82080,630000728701
6875,63132181,1A1601,82080,1,82080,890000084642
6886,63132224,1B2201,28080,1,28080,630000731584
6903,63152165,200071,16200,1,16200,630000730321
6916,63152575,200006,8640,1,8640,630000723081
6922,63152610,1B2201,28080,1,28080,630000729164
6934,63152619,1A1501,105840,1,105840,630000730702
6946,63212447,1B2201,28080,1,28080,630000726905
6961,63212481,1A1501,105840,1,105840,630000727512
6989,63222303,1A1501,105840,1,105840,630000723512
6990,63222303,1B2201,28080,1,28080,630000723513
6994,63232038,200006,8640,1,8640,630000723352
7003,63232202,1A1601,82080,1,82080,630000725471
7010,63232207,200006,8640,1,8640,630000724951
7019,63252198,200071,16200,1,16200,630000727871
7021,63252272,1B2201,28080,1,28080,630000732061
